CASENUM,SURVIVED,REGION,PSU,PJ,PSU_VAR,URBANICITY,STRATUM,VE_TOTAL,VE_FORMS,PVH_INVL,PEDS,PERMVIT,PERNOTMVIT,NUM_INJ,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,HARM_EV,ALCOHOL,MAX_SEV,MAN_COLL,RELJCT1,RELJCT2,TYP_INT,WRK_ZONE,REL_ROAD,LGT_COND,WEATHER1,WEATHER2,WEATHER,SCH_BUS,INT_HWY,CF1,CF2,CF3,WKDY_IM,HOUR_IM,MINUTE_IM,EVENT1_IM,MANCOL_IM,RELJCT1_IM,RELJCT2_IM,LGTCON_IM,WEATHR_IM,MAXSEV_IM,NO_INJ_IM,ALCHL_IM,PSUSTRAT,WEIGHT
2.02E+11,1.00E+00,4,56,208,208,1,9,4,4,0,0,4,0,0,1,2018,4,8,0,12,2,0,1,0,1,1,0,1,1,1,0,1,0,1,0,0,0,4,8,0,12,1,0,1,1,1,0,0,2,20,187.1933079
2.02E+11,1.00E+00,4,56,214,214,1,7,3,3,0,0,3,0,1,1,2018,3,14,45,12,2,1,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,3,14,45,12,1,0,1,1,1,1,1,2,20,149.7873365
2.02E+11,1.00E+00,4,56,214,214,1,6,2,2,0,0,3,0,2,1,2018,4,17,46,12,2,1,7,0,1,1,0,3,2,1,0,1,0,1,19,0,0,4,17,46,12,7,0,1,2,1,1,2,2,20,76.42125785
2.02E+11,1.00E+00,4,56,209,209,1,10,2,2,0,0,2,0,0,1,2018,4,11,44,12,9,0,6,8,2,2,0,1,1,10,0,10,0,0,0,0,0,4,11,44,12,6,0,2,1,10,1,1,2,20,265.2322733
2.02E+11,0.00E+00,4,64,306,64,1,6,2,2,0,0,3,0,1,1,2018,2,16,25,12,2,1,7,0,1,1,0,1,1,10,0,10,0,1,0,0,0,2,16,25,12,7,0,1,1,10,1,1,2,23,78.13454015
2.02E+11,0.00E+00,4,56,189,189,1,10,2,2,0,0,3,0,0,1,2018,2,14,35,12,2,0,7,0,1,1,0,1,1,1,0,1,0,0,0,0,0,2,14,35,12,7,0,1,1,1,0,0,2,20,265.2322732
2.02E+11,1.00E+00,4,68,295,68,1,6,2,2,0,0,4,0,4,1,2018,6,10,32,12,1,2,7,0,1,1,0,1,1,1,0,1,0,1,0,0,0,6,10,32,12,7,0,1,1,1,2,4,1,23,74.96762658
2.02E+11,1.00E+00,3,48,91,48,1,9,1,1,0,0,1,0,0,1,2018,2,0,30,31,2,0,0,0,1,1,0,4,3,1,0,1,0,0,0,0,0,2,0,30,31,0,0,1,3,1,0,0,2,12,170.6546305
2.02E+11,1.00E+00,3,48,85,48,1,10,1,1,0,0,1,0,0,1,2018,5,0,30,30,2,0,0,0,1,1,0,4,2,1,0,1,0,0,0,0,0,5,0,30,30,0,0,1,2,1,0,0,2,12,238.9782539
2.02E+11,1.00E+00,3,48,91,48,1,10,2,2,0,0,3,0,0,1,2018,6,10,5,12,2,0,1,0,3,3,0,1,1,1,0,1,0,0,0,0,0,6,10,5,12,1,0,3,1,1,0,0,2,12,238.9782539
2.02E+11,1.00E+00,3,48,91,48,1,8,2,2,0,0,2,0,1,1,2018,6,16,15,12,2,2,1,0,3,3,0,1,1,1,0,1,0,0,0,0,0,6,16,15,12,1,0,3,1,1,2,1,2,12,159.3496284
2.02E+11,1.00E+00,3,48,87,48,1,10,2,2,0,0,2,0,0,1,2018,2,18,21,12,2,0,2,0,2,2,0,1,3,1,0,1,0,0,0,0,0,2,18,21,12,2,0,2,3,1,0,0,2,12,238.9782539
2.02E+11,0.00E+00,3,48,87,48,1,9,3,3,0,0,5,0,0,1,2018,3,10,46,12,2,0,1,0,3,3,0,1,1,1,0,1,0,0,0,0,0,3,10,46,12,1,0,3,1,1,0,0,2,12,170.6546305
2.02E+11,0.00E+00,3,48,87,48,1,6,2,2,0,0,3,0,2,1,2018,3,16,36,12,2,1,6,0,2,3,0,1,1,1,0,1,0,0,0,0,0,3,16,36,12,6,0,2,1,1,1,2,2,12,68.38656772
2.02E+11,0.00E+00,3,48,87,48,1,8,2,2,0,0,2,0,1,1,2018,3,12,14,12,2,1,6,0,2,2,0,1,1,1,0,1,0,0,0,0,0,3,12,14,12,6,0,2,1,1,1,1,2,12,159.3496284
2.02E+11,1.00E+00,3,48,87,48,1,10,2,2,0,0,2,0,0,1,2018,4,14,6,12,2,0,1,0,3,2,0,1,1,10,0,10,0,0,0,0,0,4,14,6,12,1,0,3,1,10,0,0,2,12,238.9782539
2.02E+11,1.00E+00,3,48,87,48,1,9,2,2,0,0,2,0,0,1,2018,4,14,35,12,2,0,1,1,20,1,0,1,1,1,0,1,0,1,0,0,0,4,14,35,12,1,1,20,1,1,0,0,2,12,170.6546305
2.02E+11,1.00E+00,3,48,87,48,1,7,2,2,0,0,2,0,0,1,2018,4,14,53,54,2,0,11,0,1,1,0,1,1,1,0,1,0,1,14,0,0,4,14,53,54,11,0,1,1,1,0,0,2,12,132.1850086
2.02E+11,1.00E+00,3,48,87,48,1,10,1,1,0,0,1,0,0,1,2018,5,23,56,34,2,0,0,0,1,1,0,4,3,1,0,1,0,0,0,0,0,5,23,56,34,0,0,1,3,1,0,0,2,12,238.9782539
2.02E+11,1.00E+00,3,48,87,48,1,9,2,2,0,0,2,0,0,1,2018,6,11,55,12,2,0,7,0,3,98,0,1,1,1,0,1,0,0,0,0,0,6,11,55,12,7,0,3,1,1,0,0,2,12,170.6546305
2.02E+11,1.00E+00,3,48,87,48,1,5,2,2,0,0,5,0,1,1,2018,6,8,50,12,2,4,6,0,2,2,0,1,1,1,0,1,0,0,0,0,0,6,8,50,12,6,0,2,1,1,4,1,2,12,28.80321981
2.02E+11,1.00E+00,3,48,87,48,1,10,2,2,0,0,2,0,0,1,2018,7,14,20,12,2,0,1,0,3,3,0,1,1,1,0,1,0,0,0,0,0,7,14,20,12,1,0,3,1,1,0,0,2,12,238.9782539
