YEAR,CASENUM,WEIGHT,A_CRAINJ,A_INTER,A_RELRD,A_INTSEC,A_JUNC,A_MANCOL,A_TOD,A_DOW,A_CT,A_HR,A_LT,A_MC,A_SPCRA,A_PED,A_PEDAL,A_ROLL,A_D15_19,A_D16_19,A_D15_20,A_D16_20,A_D65PLS,A_D21_24,A_D16_24
2018,201800381338,187.19330791,3,1,1,2,2,2,1,1,3,2,2,2,1,2,2,2,2,2,2,2,1,2,2
2018,201800381366,149.78733649,2,2,1,2,2,2,1,1,3,2,1,2,1,2,2,2,2,2,2,2,2,2,2
2018,201800381374,76.42125785,2,1,3,2,2,5,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2018,201800383118,265.23227327,2,2,1,1,1,4,1,1,2,1,2,2,2,2,2,2,1,1,1,1,2,2,1
2018,201800383942,78.134540153,2,1,1,2,2,5,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2
2018,201800383966,265.23227321,3,2,1,2,2,5,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2018,201800384289,74.967626583,2,1,1,2,2,5,1,1,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2
2018,201800384377,170.65463049,3,2,4,2,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1
2018,201800384395,238.97825394,3,2,4,2,2,1,2,1,1,2,2,2,1,2,2,2,2,2,1,1,2,2,1
2018,201800384410,238.97825394,3,2,1,1,1,2,1,1,2,2,2,2,2,2,2,2,1,1,1,1,2,2,1
2018,201800384413,159.3496284,2,2,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1
2018,201800384428,238.97825394,3,2,1,1,1,3,2,1,2,2,2,2,2,2,2,2,1,1,1,1,2,2,1
2018,201800384440,170.65463049,3,2,1,1,1,2,1,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2018,201800384450,68.386567715,2,2,1,1,1,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2018,201800384454,159.3496284,2,2,1,1,1,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2018,201800384467,238.97825394,3,2,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2018,201800384468,170.65463049,3,1,1,2,3,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2018,201800384476,132.18500855,3,1,1,2,2,6,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2
2018,201800384504,238.97825394,3,2,4,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2018,201800384508,170.65463049,3,2,1,1,1,5,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2
2018,201800384517,28.803219805,4,2,1,1,1,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2
2018,201800384543,238.97825394,3,2,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2018,201800384545,68.386567715,2,2,1,1,1,2,1,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2018,201800384551,170.65463049,3,2,4,2,2,1,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2
2018,201800384552,159.3496284,2,2,1,2,3,4,1,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,1
2018,201800384567,238.97825394,3,2,1,1,1,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2
2018,201800384575,170.65463049,3,2,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2018,201800384582,68.386567715,2,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2018,201800384591,132.18500853,3,2,1,2,2,5,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2
2018,201800384592,238.97825389,3,2,1,1,1,4,1,1,2,2,2,2,2,2,2,2,1,1,1,1,2,2,1
2018,201800384593,26.984939301,4,2,1,1,1,4,2,1,3,2,2,2,2,2,2,2,2,2,1,1,2,2,1
2018,201800384605,235.19710588,3,2,4,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2018,201800384626,168.60175046,3,2,1,2,2,5,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2018,201800384628,132.15328946,3,2,1,2,2,5,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2
2018,201800384632,27.297360648,2,2,1,1,1,4,1,1,2,2,2,2,2,2,2,2,1,1,1,1,2,2,1
2018,201800384643,168.60175046,3,2,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2018,201800384646,67.781648582,2,2,1,2,3,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2018,201800384651,235.19710588,3,2,1,1,1,4,2,2,2,1,2,2,2,2,2,2,1,1,1,1,2,2,1
2018,201800384657,159.45162565,2,2,1,1,1,4,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,1,1
2018,201800384659,168.60175046,3,2,1,1,1,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1
2018,201800384683,235.19710588,2,2,1,2,3,4,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2
2018,201800384690,168.60175046,3,2,1,1,1,4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2018,201800387645,193.38459989,2,2,4,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2018,201800387658,151.26556505,2,2,1,1,1,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2
2018,201800387683,190.69810158,3,1,1,2,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1
2018,201800387714,178.4020869,2,2,1,1,1,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2018,201800387716,76.421257828,2,2,4,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2018,201800387732,265.23227325,3,2,1,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2
2018,201800387740,187.19330785,3,2,1,1,1,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2018,201800389178,377.86543092,2,2,1,1,1,6,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1
2018,201800390140,198.27204118,3,1,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2018,201800390219,187.19330787,3,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1
2018,201800391840,586.0724766,3,2,1,1,1,4,1,1,2,2,2,2,2,2,2,2,1,1,1,1,2,2,1
2018,201800393821,279.02470946,3,1,1,2,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2
2018,201800393866,195.21146277,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,1,1,2,2,1
