YEAR,CASENUM,VEH_NO,WEIGHT,A_BODY,A_IMP1,A_VROLL,A_SPVEH,A_MOD_YR
2018,201800381338,1,187.19330791,1,2,2,1,2015
2018,201800381338,2,187.19330791,3,4,2,2,2010
2018,201800381338,3,187.19330791,3,4,2,2,2007
2018,201800381338,4,187.19330791,1,4,2,2,2007
2018,201800381366,1,149.78733649,1,2,2,1,2007
2018,201800381366,2,149.78733649,1,4,2,2,2016
2018,201800381366,3,149.78733649,6,4,2,2,1999
2018,201800381374,1,76.42125785,2,3,2,2,2005
2018,201800381374,2,76.42125785,1,5,2,2,2017
2018,201800383118,1,265.23227327,1,4,2,2,2012
2018,201800383118,2,265.23227327,1,2,2,2,2009
2018,201800383942,1,78.134540153,2,5,2,2,2007
2018,201800383942,2,78.134540153,3,4,2,2,2016
2018,201800383966,1,265.23227321,5,5,2,2,2004
2018,201800383966,2,265.23227321,3,3,2,2,2010
2018,201800384289,1,74.967626583,1,3,2,2,2015
2018,201800384289,2,74.967626583,1,5,1,2,2017
2018,201800384377,1,170.65463049,1,2,2,2,2013
2018,201800384395,1,238.97825394,1,2,2,1,2010
2018,201800384410,1,238.97825394,1,2,2,2,2000
2018,201800384410,2,238.97825394,3,4,2,2,2009
2018,201800384413,1,159.3496284,1,2,2,2,2012
2018,201800384413,2,159.3496284,2,4,2,2,2008
2018,201800384428,1,238.97825394,2,2,2,2,2005
2018,201800384428,2,238.97825394,1,2,2,2,2009
2018,201800384440,1,170.65463049,4,2,2,2,2006
2018,201800384440,2,170.65463049,2,4,2,2,2005
2018,201800384440,3,170.65463049,1,4,2,2,2015
2018,201800384450,1,68.386567715,1,2,2,2,2003
2018,201800384450,2,68.386567715,1,2,2,2,2018
2018,201800384454,1,159.3496284,1,5,2,2,2004
2018,201800384454,2,159.3496284,1,2,2,2,2011
2018,201800384467,1,238.97825394,1,2,2,2,2009
2018,201800384467,2,238.97825394,1,4,2,2,2008
2018,201800384468,1,170.65463049,1,2,2,2,2013
2018,201800384468,2,170.65463049,4,4,2,2,2015
2018,201800384476,1,132.18500855,6,6,2,2,2008
2018,201800384476,2,132.18500855,1,2,2,2,2016
2018,201800384504,1,238.97825394,1,2,2,2,2007
2018,201800384508,1,170.65463049,2,2,2,2,2013
2018,201800384508,2,170.65463049,3,5,2,2,2016
2018,201800384517,1,28.803219805,2,2,2,2,1990
2018,201800384517,2,28.803219805,3,2,2,2,2012
2018,201800384543,1,238.97825394,1,2,2,2,2007
2018,201800384543,2,238.97825394,2,4,2,2,2004
2018,201800384545,1,68.386567715,2,2,2,2,2012
2018,201800384545,2,68.386567715,1,4,2,2,2016
2018,201800384545,3,68.386567715,2,4,2,2,2015
2018,201800384545,4,68.386567715,2,4,2,2,2002
2018,201800384545,5,68.386567715,1,4,2,2,2016
2018,201800384551,1,170.65463049,1,2,1,2,2014
2018,201800384552,1,159.3496284,1,3,2,2,2015
2018,201800384552,2,159.3496284,1,2,2,2,1996
2018,201800384567,1,238.97825394,1,5,2,2,2005
2018,201800384567,2,238.97825394,1,2,2,2,2012
2018,201800384575,1,170.65463049,3,4,2,2,2011
2018,201800384575,2,170.65463049,1,2,2,2,2016
2018,201800384582,1,68.386567715,1,2,2,2,2017
2018,201800384582,2,68.386567715,3,4,2,2,2015
2018,201800384591,1,132.18500853,2,3,2,2,2003
2018,201800384591,2,132.18500853,6,5,2,2,2018
2018,201800384592,1,238.97825389,1,4,2,2,2008
2018,201800384592,2,238.97825389,3,2,2,2,2005
2018,201800384593,1,26.984939301,1,2,2,2,2015
2018,201800384593,2,26.984939301,1,2,2,2,2008
2018,201800384593,3,26.984939301,1,2,2,2,2005
2018,201800384605,1,235.19710588,1,2,2,2,2013
2018,201800384626,1,168.60175046,1,2,2,2,2014
2018,201800384626,2,168.60175046,1,5,2,2,2009
2018,201800384628,1,132.15328946,1,5,2,2,2006
2018,201800384628,2,132.15328946,6,3,2,2,2016
2018,201800384632,1,27.297360648,1,3,2,2,1999
2018,201800384632,2,27.297360648,3,2,2,2,2003
2018,201800384643,1,168.60175046,3,2,2,2,2016
2018,201800384643,2,168.60175046,1,4,2,2,2015
2018,201800384646,1,67.781648582,2,2,2,2,2010
2018,201800384646,2,67.781648582,3,4,2,2,2015
2018,201800384651,1,235.19710588,3,2,2,2,2008
2018,201800384651,2,235.19710588,1,2,2,2,2010
2018,201800384657,1,159.45162565,1,2,2,2,2007
2018,201800384657,2,159.45162565,1,2,2,2,2005
2018,201800384659,1,168.60175046,1,2,2,2,2017
2018,201800384659,2,168.60175046,1,2,2,2,2013
2018,201800384683,1,235.19710588,2,2,2,2,2010
2018,201800384683,2,235.19710588,1,5,2,2,2013
2018,201800384690,1,168.60175046,1,3,2,2,2014
2018,201800384690,2,168.60175046,3,2,2,2,2002
2018,201800387645,1,193.38459989,1,5,2,2,2001
2018,201800387658,1,151.26556505,6,2,2,2,2018
2018,201800387658,2,151.26556505,1,4,2,2,1977
2018,201800387683,1,190.69810158,1,2,2,1,2013
2018,201800387683,2,190.69810158,1,4,2,2,2010
2018,201800387714,1,178.4020869,1,2,2,2,2006
2018,201800387714,2,178.4020869,1,2,2,2,2010
2018,201800387716,1,76.421257828,1,2,2,2,2014
2018,201800387732,1,265.23227325,1,2,2,1,1992
2018,201800387732,2,265.23227325,3,4,2,2,2012
2018,201800387740,1,187.19330785,1,2,2,2,2015
2018,201800387740,2,187.19330785,3,3,2,2,2003
2018,201800389178,1,377.86543092,1,2,2,2,2013
2018,201800389178,2,377.86543092,6,5,2,2,2015
2018,201800390140,1,198.27204118,1,2,2,2,2004
2018,201800390140,2,198.27204118,1,4,2,2,2014
2018,201800390219,1,187.19330787,3,2,2,1,2004
2018,201800390219,2,187.19330787,3,4,2,2,2014
2018,201800391840,1,586.0724766,1,2,2,2,2007
2018,201800391840,2,586.0724766,3,2,2,2,1999
2018,201800393821,1,279.02470946,3,2,2,2,2007
2018,201800393821,2,279.02470946,1,4,2,2,2010
2018,201800393866,1,195.21146277,1,2,2,2,2007
2018,201800393866,2,195.21146277,3,4,2,2,2008
2018,201800393984,1,178.40208692,2,2,2,1,2016
2018,201800393984,2,178.40208692,1,4,2,2,2000
2018,201800396165,1,146.08973367,3,2,2,2,2005
2018,201800396165,2,146.08973367,6,2,2,2,2016
2018,201800396168,1,20.623989912,1,2,2,2,2017
2018,201800396168,2,20.623989912,6,5,2,2,2005
2018,201800396250,1,30.490190374,1,2,2,1,2003
2018,201800396250,2,30.490190374,1,4,2,2,1992
2018,201800397628,1,34.194551581,1,2,2,2,2012
2018,201800397696,1,76.42125785,3,2,2,2,2004
2018,201800397696,2,76.42125785,3,3,2,2,2015
2018,201800397696,3,76.42125785,1,3,2,2,2013
2018,201800397716,1,178.40208686,1,3,1,2,2001
2018,201800397941,1,159.3496284,2,2,2,1,2003
2018,201800397959,1,15.700392812,1,2,2,2,2016
2018,201800397959,2,15.700392812,6,2,2,2,2018
2018,201800397966,1,132.18500855,6,2,2,2,2016
2018,201800397969,1,238.97825394,1,2,2,1,1995
2018,201800397975,1,27.534924156,1,2,2,2,2006
2018,201800397982,1,15.009055523,1,2,2,2,2017
2018,201800397982,2,15.009055523,1,2,2,2,2015
2018,201800397984,1,27.534924156,1,2,2,1,2006
2018,201800397994,1,170.65463049,2,4,2,2,2008
2018,201800397994,2,170.65463049,1,2,2,2,2017
2018,201800397995,1,238.97825394,1,2,2,2,2010
2018,201800397995,2,238.97825394,1,4,2,2,1998
2018,201800397998,1,28.803219805,3,2,1,2,2003
2018,201800398028,1,238.97825394,1,5,2,2,2012
2018,201800398028,2,238.97825394,2,3,2,2,2000
2018,201800398037,1,170.65463049,2,2,2,2,2008
2018,201800398037,2,170.65463049,1,5,2,2,2017
2018,201800398060,1,27.534924156,1,2,2,2,1998
2018,201800398060,2,27.534924156,1,3,2,2,2010
2018,201800398060,3,27.534924156,4,4,2,2,2015
2018,201800398076,1,132.18500855,6,3,2,2,2008
2018,201800398083,1,238.97825394,1,2,2,2,2013
2018,201800398083,2,238.97825394,1,2,2,2,2007
2018,201800398088,1,68.386567715,3,2,2,2,2015
2018,201800398088,2,68.386567715,1,5,2,2,2016
2018,201800398092,1,170.65463049,1,4,2,2,2015
2018,201800398092,2,170.65463049,1,2,2,2,2015
2018,201800398110,1,27.534924156,1,4,2,2,1997
2018,201800398110,2,27.534924156,1,2,2,2,2006
2018,201800398122,1,170.65463049,1,2,2,2,2015
2018,201800398130,1,238.97825394,1,2,2,2,2011
2018,201800398130,2,238.97825394,1,5,2,2,2011
2018,201800398137,1,27.534924156,3,2,1,2,2005
2018,201800398147,1,159.3496284,1,1,1,1,2002
2018,201800398149,1,238.97825394,3,2,2,2,2010
2018,201800398149,2,238.97825394,1,2,2,2,2013
2018,201800398154,1,170.65463049,3,2,2,2,2014
2018,201800398154,2,170.65463049,1,2,2,2,1995
2018,201800398168,1,68.38656771,4,2,2,2,2006
2018,201800398168,2,68.38656771,1,4,2,2,2014
2018,201800398183,1,26.905154397,3,2,2,2,2006
2018,201800398183,2,26.905154397,1,2,2,2,2015
2018,201800398193,1,235.19710588,1,2,2,2,2007
2018,201800398193,2,235.19710588,1,4,2,2,2006
2018,201800398194,1,235.19710588,3,2,2,2,2005
2018,201800398201,1,168.60175046,3,2,2,2,2005
2018,201800398201,2,168.60175046,3,5,2,2,2017
2018,201800398205,1,168.60175046,1,2,2,2,2016
2018,201800398213,1,67.781648582,3,2,2,1,2010
2018,201800398213,2,67.781648582,1,4,2,2,2017
2018,201800398224,1,168.60175046,3,2,2,2,1999
